site_id,url,content_type,published_at,title,source_url,source_date,word_count,duplicate_cluster,similarity_score,index_status,decision,reason,redirect_target,rollback_method,reviewer
hcj-pistonrod,https://www.hcjpistonrod.com/blog/buyers-check-before-custom-piston-rods,blog,2026-06-30T00:00:00Z,What Buyers Should Check Before Ordering Custom Piston Rods,https://www.hcjpistonrod.com/blog/buyers-check-before-custom-piston-rods,2026-06-30T00:00:00Z,119,,not-measured,index,keep,Existing original Blog route; preserve for later editorial quality review,,restore prior site_id/content_channel from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/blog/choose-hard-chrome-plated-rod-for-mobile-machinery,blog,2026-06-30T00:00:00Z,How to Choose Hard Chrome Plated Rods for Mobile Machinery,https://www.hcjpistonrod.com/blog/choose-hard-chrome-plated-rod-for-mobile-machinery,2026-06-30T00:00:00Z,115,,not-measured,index,keep,Existing original Blog route; preserve for later editorial quality review,,restore prior site_id/content_channel from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/blog/piston-rod-surface-quality-and-sealing-risk,blog,2026-06-30T00:00:00Z,Why Piston Rod Surface Quality Matters for Sealing Performance,https://www.hcjpistonrod.com/blog/piston-rod-surface-quality-and-sealing-risk,2026-06-30T00:00:00Z,119,,not-measured,index,keep,Existing original Blog route; preserve for later editorial quality review,,restore prior site_id/content_channel from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/blog/ck45-honed-tube-vs-st52-honed-tube,blog,2026-08-08T07:41:46Z,CK45 Honed Tube vs ST52 Honed Tube: What to Review Before a Hydraulic Cylinder Order,https://www.hcjpistonrod.com/blog/ck45-honed-tube-vs-st52-honed-tube,2026-08-08T07:29:29Z,1235,,not-measured,index,keep,Existing Blog content; automation access will be removed only,,restore prior site_id/content_channel from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/blog/review-honed-tube-for-hydraulic-cylinder-replacement,blog,2026-08-09T09:49:51Z,What to Review Before Specifying a Honed Tube for hydraulic cylinder replacement,https://www.hcjpistonrod.com/blog/review-honed-tube-for-hydraulic-cylinder-replacement,2026-08-09T09:49:51Z,293,,not-measured,index,update,Generated history retained but needs a human technical editorial review; do not auto-edit or auto-publish,,restore previous record from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/blog/review-ck45-chrome-plated-rod-for-cross-border-technical-quotation,blog,2026-08-11T01:25:23Z,What to Review Before Specifying a CK45 Chrome Plated Rod for cross-border technical quotation,https://www.hcjpistonrod.com/blog/review-ck45-chrome-plated-rod-for-cross-border-technical-quotation,2026-08-11T01:25:23Z,296,,not-measured,index,update,Generated history retained; future News worker must not access Blog,,restore previous record from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/news/2026-07-14-hydraulic-system-efficiency-gains-drive-industrial-equipment-advancements,news,2026-07-15T19:00:26Z,Hydraulic System Efficiency Gains Drive Industrial Equipment Advancements,https://www.fluidpowerworld.com/energy-efficienty-in-hydraulics-challenges-and-solutions/,2026-07-14T14:34:59Z,933,,not-measured,noindex,keep,Historical externally sourced News already noindex; retain outside list and sitemap,,restore robots/status from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/news/2026-07-20-fire-resistant-hydraulic-fluids-safety-considerations-for-industrial-operations,news,2026-07-20T13:01:16Z,Fire-Resistant Hydraulic Fluids: Safety Considerations for Industrial Operations,https://www.fluidpowerworld.com/the-lowdown-on-fire-resistant-fluids/,2026-07-20T09:12:21Z,804,,not-measured,noindex,keep,Historical externally sourced News already noindex; retain outside list and sitemap,,restore robots/status from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/news/2026-07-22-apg-joins-flow-control-platform-expanding-industrial-component-offerings,news,2026-07-22T19:01:25Z,APG Joins Flow-Control Platform, Expanding Industrial Component Offerings,https://www.fluidpowerworld.com/apg-joins-shf-omegaone-and-texcel-flow-control-platform/,2026-07-22T16:22:53Z,667,,not-measured,noindex,keep,Historical externally sourced News already noindex; retain outside list and sitemap,,restore robots/status from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/news/review-hollow-chrome-plated-rod-for-custom-connection-layouts,news,2026-08-11T02:12:23Z,What to Review Before Specifying a Hollow Chrome Plated Rod for Custom Connection Layouts,https://www.hcjpistonrod.com/news/review-hollow-chrome-plated-rod-for-custom-connection-layouts,2026-08-11T02:12:23Z,291,,not-measured,index,update,Current automated News lacks an external source; retain unchanged until a human chooses its final historical treatment,,restore robots/status/source fields from logical backup,system-audit
hcj-pistonrod,https://www.hcjpistonrod.com/news/2026-06-15-advancements-in-mobile-machine-steering-signal-shifting-industry-dynamics,news,,Advancements in Mobile Machine Steering Signal Shifting Industry Dynamics,https://www.mobilehydraulictips.com/steer-by-wire-becomes-the-focus-of-automation-in-mobile-machines/,2026-06-15T11:21:20Z,714,,not-measured,not-public,keep,Draft remains private and is not changed by this migration,,restore draft from logical backup,system-audit
